full_name,totalpaymenteach,customer_grade,country
Cecil Vines,116,Value cust.,United Kingdom
Erik Guillen,116,Value cust.,India
Philip Causey,116,Value cust.,Russian Federation
Veronica Stone,116,Value cust.,United States
Dianne Shelton,115,Value cust.,Iran
Teresa Rogers,115,Value cust.,Japan
Patsy Davidson,115,Value cust.,Ecuador
Salvador Teel,115,Value cust.,Gambia
Craig Morrell,115,Value cust.,Philippines
Florence Woods,115,Value cust.,Argentina
Mary Smith,115,Value cust.,Japan
Don Bone,114,Value cust.,Mozambique
Christopher Greco,114,Value cust.,Italy
Nora Herrera,114,Value cust.,Austria
Michael Silverman,114,Value cust.,China
Amber Dixon,114,Value cust.,Taiwan
Dave Gardiner,114,Value cust.,China
Jeffery Pinson,114,Value cust.,Pakistan
George Linton,114,Value cust.,Brazil
Christy Vargas,114,Value cust.,China
Tyrone Asher,113,Value cust.,Bulgaria
Andy Vanhorn,113,Value cust.,Mexico
Ashley Richardson,113,Value cust.,United States
Amy Lopez,113,Value cust.,India
Monica Hicks,113,Value cust.,Ukraine
Clyde Tobias,113,Value cust.,China
Calvin Martel,112,Value cust.,Venezuela
Arlene Harvey,112,Value cust.,India
Jerry Jordon,112,Value cust.,Japan
Clifton Malcolm,112,Value cust.,Taiwan
Cindy Fisher,112,Value cust.,Venezuela
Daryl Larue,112,Value cust.,Iraq
Audrey Ray,112,Value cust.,Austria
Terrance Roush,112,Value cust.,Hungary
Carolyn Perez,112,Value cust.,Thailand
Holly Fox,112,Value cust.,India
Jamie Waugh,111,Value cust.,Japan
Myrtle Fleming,111,Value cust.,Dominican Republic
Charlie Bess,111,Value cust.,China
Andre Rapp,111,Value cust.,Chile
Gina Williamson,111,Value cust.,Yemen
Michele Grant,111,Value cust.,China
Ruby Washington,111,Value cust.,China
Everett Banda,111,Value cust.,Egypt
Terrence Gunderson,111,Value cust.,China
Heidi Larson,111,Value cust.,China
Beatrice Arnold,110,Value cust.,India
Fernando Churchill,110,Value cust.,South Korea
Isaac Oglesby,110,Value cust.,Mexico
Sandra Martin,110,Value cust.,United Kingdom
Charlene Alvarez,110,Value cust.,Tanzania
Ted Breaux,110,Value cust.,China
Clifford Bowens,110,Value cust.,Russian Federation
Randy Gaither,110,Value cust.,Russian Federation
Todd Tan,110,Value cust.,Ukraine
Theodore Culp,110,Value cust.,India
Herman Devore,110,Value cust.,Tanzania
Kyle Spurlock,110,Value cust.,China
Sonia Gregory,109,Value cust.,Nigeria
Eduardo Hiatt,109,Value cust.,China
Olga Jimenez,109,Value cust.,Nigeria
Seth Hannon,109,Value cust.,Bahrain
Raymond Mcwhorter,109,Value cust.,Azerbaijan
Gabriel Harder,109,Value cust.,Turkey
Julian Vest,109,Value cust.,Japan
Minnie Romero,109,Value cust.,Indonesia
Sally Pierce,109,Value cust.,India
Mae Fletcher,108,Value cust.,Spain
Johnnie Chisholm,108,Value cust.,Poland
Jesus Mccartney,108,Value cust.,Brazil
Stephen Qualls,108,Value cust.,Bangladesh
Mario Cheatham,108,Value cust.,Algeria
Marion Ocampo,108,Value cust.,China
Lucille Holmes,108,Value cust.,South Africa
Darlene Rose,108,Value cust.,North Korea
Jeff East,108,Value cust.,Dominican Republic
Maxine Silva,108,Value cust.,Brazil
Lois Butler,108,Value cust.,Brunei
Dan Paine,107,Value cust.,United Kingdom
Douglas Graf,107,Value cust.,Mexico
Marlene Welch,107,Value cust.,Japan
Gail Knight,107,Value cust.,Switzerland
Claudia Fuller,107,Value cust.,Kuwait
Victoria Gibson,107,Value cust.,Indonesia
Dean Sauer,107,Value cust.,South Africa
Sarah Lewis,107,Value cust.,Latvia
Bill Gavin,107,Value cust.,United States
Erin Dunn,107,Value cust.,Russian Federation
Julie Sanchez,107,Value cust.,Spain
Hazel Warren,107,Value cust.,China
Elaine Stevens,106,Value cust.,Russian Federation
Eric Robert,106,Value cust.,Argentina
Sam Mcduffie,106,Value cust.,Colombia
Shelly Watts,106,Value cust.,United States
Katie Elliott,106,Value cust.,Kenya
Jean Bell,106,Value cust.,Malaysia
Bryan Hardison,106,Value cust.,United States
Earl Shanks,106,Value cust.,Japan
Amanda Carter,106,Value cust.,Morocco
Diana Alexander,106,Value cust.,United States
Marcus Hidalgo,106,Value cust.,Estonia
Cynthia Young,106,Value cust.,India
Carl Artis,105,Value cust.,Paraguay
Brent Harkins,105,Value cust.,Turkey
Violet Rodriquez,105,Value cust.,Hong Kong
Josephine Gomez,105,Value cust.,India
Dolores Wagner,105,Value cust.,Malaysia
Dale Ratcliff,105,Value cust.,South Africa
Brenda Wright,105,Value cust.,India
Deborah Walker,105,Value cust.,Pakistan
Jimmy Schrader,105,Value cust.,Russian Federation
Leroy Bustamante,105,Value cust.,China
Peter Menard,104,Value cust.,Netherlands
Ramona Hale,104,Value cust.,India
Tracey Barrett,104,Value cust.,Nigeria
Kristin Johnston,104,Value cust.,United States
Carla Gutierrez,104,Value cust.,India
Courtney Day,104,Value cust.,South Korea
Sharon Robinson,104,Value cust.,Pakistan
Manuel Murrell,104,Value cust.,Sri Lanka
Misty Lambert,103,Value cust.,United Arab Emirates
Max Pitt,103,Value cust.,Yugoslavia
Ben Easter,103,Value cust.,Russian Federation
Lillian Griffin,103,Value cust.,United Arab Emirates
Sergio Stanfield,103,Value cust.,Mexico
Ellen Simpson,103,Value cust.,Brazil
Yolanda Weaver,103,Value cust.,Tanzania
Marie Turner,102,Value cust.,Russian Federation
Leo Ebert,102,Value cust.,China
Robin Hayes,102,Value cust.,Russian Federation
Rene Mcalister,102,Value cust.,United States
Leonard Schofield,102,Value cust.,Argentina
Glen Talbert,101,Value cust.,Mexico
Sidney Burleson,101,Value cust.,Poland
Brad Mccurdy,101,Value cust.,Taiwan
Willie Howell,101,Value cust.,Argentina
Vickie Brewer,101,Value cust.,Germany
Juanita Mason,101,Value cust.,India
Ron Deluca,100,Value cust.,Japan
Lisa Anderson,100,Value cust.,Japan
Sherri Rhodes,100,Value cust.,India
Evelyn Morgan,100,Value cust.,Liechtenstein
Ken Prewitt,100,Value cust.,Romania
Angel Barclay,100,Value cust.,Japan
Tom Milner,100,Value cust.,United Arab Emirates
Bobby Boudreau,100,Value cust.,Anguilla
Ruth Martinez,99,Value cust.,South Africa
Frank Waggoner,99,Value cust.,Bangladesh
Clinton Buford,99,Value cust.,United States
Annette Olson,99,Value cust.,India
Jeremy Hurtado,99,Value cust.,Brazil
Gwendolyn May,99,Value cust.,Japan
Francis Sikes,99,Value cust.,Mexico
Ross Grey,99,Value cust.,Philippines
Adam Gooch,98,Value cust.,India
Rose Howard,98,Value cust.,French Guiana
Leon Bostic,98,Value cust.,Colombia
Pedro Chestnut,98,Value cust.,Ukraine
Laurie Lawrence,98,Value cust.,India
Rodney Moeller,98,Value cust.,Nigeria
Wallace Slone,98,Value cust.,Nigeria
Shannon Freeman,98,Value cust.,India
Mabel Holland,98,Value cust.,Myanmar
Virgil Wofford,98,Value cust.,Mexico
Nina Soto,97,Value cust.,India
Cassandra Walters,97,Value cust.,United States
Carlos Coughlin,97,Value cust.,India
Albert Crouse,97,Value cust.,Cameroon
Louise Jenkins,97,Value cust.,South Africa
Betty White,97,Value cust.,United States
Vincent Ralston,97,Value cust.,Mexico
Velma Lucas,97,Value cust.,Nigeria
Micheal Forman,97,Value cust.,Argentina
Edward Baugh,97,Value cust.,Faroe Islands
Melvin Ellington,97,Value cust.,China
Reginald Kinder,97,Value cust.,Indonesia
Denise Kelly,97,Value cust.,Brazil
Dwayne Olvera,96,Value cust.,India
Connie Wallace,96,Value cust.,Russian Federation
Willard Lumpkin,96,Value cust.,Mexico
Gary Coy,96,Value cust.,China
Darren Windham,96,Value cust.,Italy
Shane Millard,96,Value cust.,Mexico
Stacy Cunningham,96,Value cust.,Colombia
Walter Perryman,96,Value cust.,China
Beth Franklin,96,Value cust.,Vietnam
Ronnie Ricketts,96,Value cust.,Senegal
Esther Crawford,96,Value cust.,South Africa
Laura Rodriguez,95,Value cust.,Morocco
Nicole Peterson,95,Value cust.,India
Danielle Daniels,95,Value cust.,Mexico
Brandy Graves,95,Value cust.,United States
Dorothy Taylor,95,Value cust.,Iran
Kelly Knott,95,Value cust.,China
Suzanne Nichols,95,Value cust.,Indonesia
Geraldine Perkins,95,Value cust.,Israel
Carmen Owens,95,Value cust.,Venezuela
Kevin Schuler,94,Value cust.,Nepal
Edwin Burk,94,Value cust.,South Africa
Claude Herzog,94,Value cust.,Angola
Ronald Weiner,94,Value cust.,Mexico
Francisco Skidmore,94,Value cust.,Brazil
Joshua Mark,94,Value cust.,India
Dawn Sullivan,94,Value cust.,Tuvalu
Phillip Holm,94,Value cust.,Japan
Martin Bales,94,Value cust.,Angola
Tamara Nguyen,94,Value cust.,Brazil
Howard Fortner,94,Value cust.,Iran
Nancy Thomas,94,Value cust.,India
Frances Parker,93,Value cust.,Brazil
Cody Nolen,93,Value cust.,Brazil
Joseph Joy,93,Value cust.,Brazil
Andrea Henderson,93,Value cust.,Madagascar
Bruce Schwarz,93,Value cust.,Japan
Joel Francisco,93,Value cust.,Bolivia
Chester Benner,93,Value cust.,China
Elmer Noe,93,Value cust.,Cambodia
Renee Lane,93,Value cust.,United States
Melanie Armstrong,93,Value cust.,Philippines
Carole Barnett,93,Value cust.,United States
Dustin Gillette,93,Value cust.,Netherlands
Rafael Abney,92,Value cust.,Philippines
Ricardo Meador,92,Value cust.,Japan
Wilma Richards,92,Value cust.,United States
Pamela Baker,92,Value cust.,China
Vicki Fields,92,Value cust.,Germany
Travis Estep,92,Value cust.,Saudi Arabia
Sean Douglass,92,Value cust.,Ethiopia
Matthew Mahan,92,Value cust.,Mexico
Ivan Cromwell,92,Value cust.,Mexico
Judith Cox,92,Value cust.,China
Deanna Byrd,91,Value cust.,Philippines
Natalie Meyer,91,Value cust.,Brazil
Emily Diaz,91,Value cust.,South Korea
Kathleen Adams,91,Value cust.,Iran
Derek Blakely,91,Value cust.,Philippines
Hugh Waldrop,90,Value cust.,China
Beverly Brooks,90,Value cust.,Taiwan
Christine Roberts,90,Value cust.,French Polynesia
Benjamin Varney,90,Value cust.,Mexico
Andrew Purdy,90,Value cust.,Azerbaijan
Bertha Ferguson,90,Value cust.,Nigeria
Jackie Lynch,90,Value cust.,Colombia
Judy Gray,90,Value cust.,Algeria
Lillie Kim,90,Value cust.,Egypt
Edgar Rhoads,90,Value cust.,Turkey
Darrell Power,90,Value cust.,Canada
Rebecca Scott,90,Value cust.,Japan
Lawrence Lawton,90,Value cust.,Cameroon
Stella Moreno,89,Value cust.,Mexico
Dora Medina,89,Value cust.,China
Aaron Selby,89,Value cust.,"Congo, The Democratic Republic of the"
Anna Hill,89,Value cust.,Italy
Mildred Bailey,89,Value cust.,India
Glenn Pullen,89,Value cust.,Netherlands
Georgia Jacobs,89,Value cust.,India
Heather Morris,89,Value cust.,Japan
Pauline Henry,89,Value cust.,Mexico
Theresa Watson,89,Value cust.,Philippines
Donna Thompson,88,Value cust.,Russian Federation
Tara Ryan,88,Value cust.,Indonesia
Harvey Guajardo,88,Value cust.,Vietnam
Kurt Emmons,88,Value cust.,Japan
Derrick Bourque,88,Value cust.,Canada
Richard Mccrary,88,Value cust.,United States
Loretta Carpenter,88,Value cust.,Canada
Maureen Little,88,Value cust.,Paraguay
Charlotte Hunter,88,Value cust.,Brazil
Jack Foust,88,Value cust.,Russian Federation
Freddie Duggan,88,Value cust.,Peru
Raul Fortier,87,Value cust.,India
Nellie Garrett,87,Value cust.,India
Ruben Geary,87,Value cust.,Poland
Vanessa Sims,87,Value cust.,Germany
Lewis Lyman,87,Value cust.,Israel
Kelly Torres,87,Value cust.,China
Erica Matthews,87,Value cust.,China
Agnes Bishop,87,Value cust.,India
Constance Reid,87,Value cust.,Nigeria
Peggy Myers,87,Value cust.,Saudi Arabia
Chad Carbone,87,Value cust.,India
Allison Stanley,87,Value cust.,Cambodia
Lucy Wheeler,87,Value cust.,India
Ian Still,87,Value cust.,United States
Wendy Harrison,87,Value cust.,Mexico
Randall Neumann,86,Value cust.,Dominican Republic
Alfredo Mcadams,86,Value cust.,Russian Federation
Jon Wiles,86,Value cust.,Bolivia
Willie Markham,86,Value cust.,Argentina
Victor Barkley,86,Value cust.,United States
Jane Bennett,86,Value cust.,Brazil
Susan Wilson,86,Value cust.,New Zealand
Kimberly Lee,86,Value cust.,Argentina
Jay Robb,86,Value cust.,Indonesia
Lonnie Tirado,85,Value cust.,Indonesia
Julio Noland,85,Value cust.,Ukraine
Doris Reed,85,Value cust.,Russian Federation
Bonnie Hughes,85,Value cust.,South Korea
Mathew Bolin,85,Value cust.,Venezuela
James Gannon,85,Value cust.,Japan
Jennifer Davis,85,Value cust.,United States
Eva Ramos,84,Value cust.,United States
Corey Hauser,84,Value cust.,Turkey
Leslie Gordon,84,Value cust.,Turkey
Bernard Colby,84,Value cust.,India
Wade Delvalle,84,Value cust.,Switzerland
Patrick Newsom,84,Value cust.,Vietnam
Tyler Wren,83,Value cust.,China
Bob Pfeiffer,83,Value cust.,China
Gene Sanborn,83,Value cust.,Oman
Vernon Chapa,82,Value cust.,Turkey
Jared Ely,82,Value cust.,Indonesia
Thomas Grigsby,82,Value cust.,United States
Jason Morrissey,82,Value cust.,Argentina
Yvonne Watkins,82,Value cust.,Venezuela
Mark Rinehart,82,Value cust.,Saudi Arabia
Lorraine Stephens,82,Value cust.,China
Christian Jung,82,Value cust.,India
Barbara Jones,82,Value cust.,Myanmar
Cory Meehan,82,Value cust.,Belarus
Jessie Banks,82,Value cust.,Bulgaria
Megan Palmer,82,Value cust.,China
Paul Trout,81,Value cust.,Russian Federation
Oscar Aquino,81,Value cust.,Iran
Eileen Carr,81,Value cust.,Paraguay
Steven Curley,81,Value cust.,India
Vivian Ruiz,81,Value cust.,Netherlands
Kristina Chambers,81,Value cust.,Venezuela
Becky Miles,81,Value cust.,India
Roland South,81,Value cust.,China
Keith Rico,81,Value cust.,Slovakia
Edna West,80,Value cust.,South Africa
David Royal,80,Value cust.,Peru
Roberta Harper,80,Value cust.,Iran
Jenny Castro,80,Value cust.,Puerto Rico
Jesse Schilling,80,Value cust.,"Congo, The Democratic Republic of the"
Clarence Gamez,80,Value cust.,Japan
Frederick Isbell,79,Value cust.,Japan
Austin Cintron,79,Value cust.,China
Carol Garcia,79,Value cust.,Nigeria
Margaret Moore,79,Value cust.,Oman
Dennis Gilman,79,Value cust.,South Africa
Joan Cooper,79,Value cust.,United States
Erika Pena,79,Value cust.,Finland
Colleen Burton,79,Value cust.,Germany
Ricky Shelby,79,Value cust.,China
Melinda Fernandez,78,Value cust.,Pakistan
Luis Yanez,78,Value cust.,France
Emma Boyd,78,Value cust.,Egypt
Chris Brothers,78,Value cust.,Spain
Ernest Stepp,78,Value cust.,China
Rita Graham,78,Value cust.,France
Lydia Burke,78,Value cust.,Argentina
Marian Mendoza,77,Value cust.,Brazil
Phyllis Foster,77,Value cust.,China
Kim Cruz,77,Value cust.,United States
Pearl Garza,77,Value cust.,India
Christina Ramirez,76,Value cust.,Saudi Arabia
Leah Curtis,76,Value cust.,Poland
Samuel Marlow,76,Value cust.,India
Clayton Barbee,76,Value cust.,Brazil
Ida Andrews,76,Value cust.,Brazil
Darryl Ashcraft,76,Value cust.,Argentina
Kristen Chavez,75,Value cust.,Japan
Allen Butterfield,75,Value cust.,India
Dwight Lombardi,75,Value cust.,South Africa
Larry Thrasher,75,Value cust.,Turkey
Jacob Lance,75,Value cust.,United States
Irene Price,75,Value cust.,Kazakstan
April Burns,75,Value cust.,United Kingdom
Antonio Meek,74,Value cust.,Brazil
Toni Holt,74,Value cust.,United States
Danny Isom,74,Value cust.,Pakistan
Alicia Mills,74,Value cust.,India
Herbert Kruger,74,Value cust.,Russian Federation
Rachel Barnes,74,Value cust.,Japan
Lance Pemberton,74,Value cust.,Morocco
Enrique Forsythe,74,Value cust.,Greece
Gregory Mauldin,74,Value cust.,Tunisia
Norman Currier,74,Value cust.,Indonesia
Paula Bryant,73,Value cust.,India
Armando Gruber,73,Value cust.,United Kingdom
Timothy Bunn,73,Value cust.,Brazil
Anne Powell,73,Value cust.,United Kingdom
Robert Baughman,72,Value cust.,Russian Federation
Delores Hansen,72,Value cust.,Russian Federation
Norma Gonzales,72,Value cust.,Philippines
Ray Houle,72,Value cust.,Russian Federation
Billie Horton,72,Value cust.,Turkey
Samantha Duncan,72,Value cust.,Mexico
Eugene Culpepper,71,Value cust.,China
Irma Pearson,71,Value cust.,Philippines
Wayne Truong,71,Value cust.,India
William Satterfield,71,Value cust.,Yemen
Edith Mcdonald,70,General cust.,India
Franklin Troutman,70,General cust.,China
Fred Wheat,70,General cust.,Mexico
Daniel Cabral,69,General cust.,Brazil
Floyd Gandy,69,General cust.,Mexico
Adrian Clary,69,General cust.,Italy
Terry Grissom,69,General cust.,Japan
Felicia Sutton,69,General cust.,China
Kenneth Gooden,68,General cust.,Israel
Jerome Kenyon,68,General cust.,Chile
Ann Evans,68,General cust.,Russian Federation
Vera Mccoy,68,General cust.,Afghanistan
Jeanette Greene,67,General cust.,Russian Federation
Lloyd Dowd,67,General cust.,Indonesia
Alberto Henning,67,General cust.,Venezuela
Kay Caldwell,66,General cust.,China
Jeffrey Spear,66,General cust.,Indonesia
Jonathan Scarborough,66,General cust.,Mexico
Marvin Yee,66,General cust.,India
Joann Gardner,65,General cust.,Turkey
Henry Billingsley,65,General cust.,Tonga
Jose Andrew,65,General cust.,Saint Vincent and the Grenadines
Allan Cornish,64,General cust.,Philippines
Donald Mahon,64,General cust.,China
Juan Fraley,64,General cust.,Russian Federation
Felix Gaffney,64,General cust.,Lithuania
Lester Kraus,63,General cust.,India
Nelson Christenson,63,General cust.,Spain
Tony Carranza,63,General cust.,Japan
Scott Shelley,61,General cust.,United States
Anita Morales,60,General cust.,India
Lauren Hudson,60,General cust.,France
Jill Hawkins,59,General cust.,Austria
Annie Russell,59,General cust.,Mozambique
Mattie Hoffman,59,General cust.,United Kingdom
Katherine Rivera,58,General cust.,Switzerland
Sheila Wells,58,General cust.,Turkey
Johnny Turpin,58,General cust.,Sudan
Penny Neal,57,General cust.,India
Jo Fowler,55,General cust.,Nigeria
Bobbie Craig,53,General cust.,Mexico
Kirk Stclair,51,General cust.,Taiwan
Tiffany Jordan,50,General cust.,China
Anthony Schwab,48,General cust.,American Samoa
Caroline Bowman,38,General cust.,United States
Leona Obrien,33,General cust.,China
Brian Wyman,28,General cust.,Poland
